Date,Open,corona,Strigency
21-01-2020,3321.030029,1,0
22-01-2020,3330.02002,1,0
23-01-2020,3315.77002,1,0
24-01-2020,3333.100098,1,0
25-01-2020,3333.1,2,0
26-01-2020,3333.1,2,0
27-01-2020,3247.159912,5,0
28-01-2020,3255.350098,5,0
29-01-2020,3289.459961,5,0
30-01-2020,3256.449951,5,0
31-01-2020,3282.330078,6,0
01-02-2020,3282.33,7,0
02-02-2020,3282.33,8,5.56
03-02-2020,3235.659912,11,5.56
04-02-2020,3280.610107,11,5.56
05-02-2020,3324.909912,11,5.56
06-02-2020,3344.919922,12,5.56
07-02-2020,3335.540039,12,5.56
08-02-2020,3335.54,12,5.56
09-02-2020,3335.54,12,5.56
10-02-2020,3318.280029,12,5.56
11-02-2020,3365.870117,13,5.56
12-02-2020,3370.5,13,5.56
13-02-2020,3365.899902,14,5.56
14-02-2020,3378.080078,15,5.56
15-02-2020,3378.08,15,5.56
16-02-2020,3378.08,15,5.56
17-02-2020,3378.08,15,5.56
18-02-2020,3369.040039,15,5.56
19-02-2020,3380.389893,15,5.56
20-02-2020,3380.449951,15,5.56
21-02-2020,3360.5,16,5.56
22-02-2020,3360.5,35,5.56
23-02-2020,3360.5,35,5.56
24-02-2020,3257.610107,35,5.56
25-02-2020,3238.939941,53,5.56
26-02-2020,3139.899902,53,5.56
27-02-2020,3062.540039,59,5.56
28-02-2020,2916.899902,60,5.56
29-02-2020,2916.9,66,5.56
01-03-2020,2916.9,69,9.53
02-03-2020,2974.280029,89,12.3
03-03-2020,3096.459961,103,12.3
04-03-2020,3045.75,125,12.3
05-03-2020,3075.699951,159,20.24
06-03-2020,2954.199951,233,20.24
07-03-2020,2954.2,338,20.24
08-03-2020,2954.2,433,20.24
09-03-2020,2863.889893,554,20.24
10-03-2020,2813.47998,754,20.24
11-03-2020,2825.600098,1025,22.23
12-03-2020,2630.860107,1312,28.18
13-03-2020,2569.98999,1663,28.18
14-03-2020,2569.99,2174,35.32
15-03-2020,2569.99,2951,40.62
16-03-2020,2508.590088,3774,51.73
17-03-2020,2425.659912,4661,55.7
18-03-2020,2436.5,6427,55.7
19-03-2020,2393.47998,9415,64.44
20-03-2020,2431.939941,14250,64.44
21-03-2020,2431.94,19624,64.44
22-03-2020,2431.94,26747,64.44
23-03-2020,2290.709961,35206,64.44
24-03-2020,2344.439941,46442,64.44
25-03-2020,2457.77002,55231,64.44
26-03-2020,2501.290039,69194,64.44
27-03-2020,2555.870117,85991,64.44
28-03-2020,2555.87,104686,64.44
29-03-2020,2555.87,124665,64.44
30-03-2020,2558.97998,143025,64.44
31-03-2020,2614.689941,164620,64.44
01-04-2020,2498.080078,189618,64.44
02-04-2020,2458.540039,216721,64.44
03-04-2020,2514.919922,245540,64.44
04-04-2020,2514.92,277965,64.44
05-04-2020,2514.92,312237,64.44
06-04-2020,2578.280029,337635,64.44
07-04-2020,2738.649902,368196,64.44
08-04-2020,2685,398809,67.61
09-04-2020,2776.98999,432132,67.61
10-04-2020,2776.99,466033,67.61
11-04-2020,2776.99,501560,67.61
12-04-2020,2776.99,529951,67.61
13-04-2020,2782.459961,557571,67.61
14-04-2020,2805.100098,582594,67.61
15-04-2020,2795.639893,609516,67.61
16-04-2020,2799.340088,639664,67.61
17-04-2020,2842.429932,671331,67.61
18-04-2020,2842.43,702164,67.61
19-04-2020,2842.43,735086,67.61
20-04-2020,2845.620117,759687,67.61
21-04-2020,2784.810059,787752,64.44
22-04-2020,2787.889893,825041,64.44
23-04-2020,2810.419922,842629,64.44
24-04-2020,2812.639893,869172,64.44
25-04-2020,2812.64,890524,64.44
26-04-2020,2812.64,939053,41.42
27-04-2020,2854.649902,965910,41.42
28-04-2020,2909.959961,988451,41.42
29-04-2020,2918.459961,1012583,41.42
30-04-2020,2930.909912,1039909,41.42
01-05-2020,2869.090088,1069826,41.42
