Date,Gold,corona
30-01-2020,1576.5,2
31-01-2020,1571.18,2
01-02-2020,1571.18,3
02-02-2020,1571.18,3
03-02-2020,1578.56,3
04-02-2020,1571.29,3
05-02-2020,1553.47,3
06-02-2020,1553.67,3
07-02-2020,1563.78,3
08-02-2020,1563.78,3
09-02-2020,1563.78,3
10-02-2020,1569.19,3
11-02-2020,1566.76,3
12-02-2020,1563.81,3
13-02-2020,1569.43,3
14-02-2020,1572.8,3
15-02-2020,1572.8,3
16-02-2020,1572.8,3
17-02-2020,1579.29,3
18-02-2020,1583.2,3
19-02-2020,1600.35,3
20-02-2020,1606.6,3
21-02-2020,1624,3
22-02-2020,1624,3
23-02-2020,1624,3
24-02-2020,1664.25,3
25-02-2020,1649.63,3
26-02-2020,1640.24,3
27-02-2020,1645.16,3
28-02-2020,1635.77,3
29-02-2020,1635.77,5
01-03-2020,1635.77,6
02-03-2020,1595.15,28
03-03-2020,1593.26,29
04-03-2020,1639.28,31
05-03-2020,1636.07,34
06-03-2020,1671.34,44
07-03-2020,1671.34,50
08-03-2020,1671.34,73
09-03-2020,1684.48,75
10-03-2020,1660.92,83
11-03-2020,1656.81,90
12-03-2020,1637.75,93
13-03-2020,1569.36,125
14-03-2020,1569.36,137
15-03-2020,1569.36,165
16-03-2020,1540.5,191
17-03-2020,1493,231
18-03-2020,1521.01,320
19-03-2020,1480.38,439
20-03-2020,1486.73,492
21-03-2020,1486.73,562
22-03-2020,1486.73,649
23-03-2020,1488.66,724
24-03-2020,1571.65,873
25-03-2020,1607.37,979
26-03-2020,1599.41,1071
27-03-2020,1617.51,1251
28-03-2020,1617.51,1397
29-03-2020,1617.51,1965
30-03-2020,1612.67,2301
31-03-2020,1610.76,2902
01-04-2020,1582.93,3374
02-04-2020,1583.5,4067
03-04-2020,1607.49,4421
04-04-2020,1607.49,5194
05-04-2020,1607.49,5734
06-04-2020,1620.37,6412
07-04-2020,1655.89,7447
08-04-2020,1644.03,8356
09-04-2020,1646.45,9152
10-04-2020,1682.91,10363
11-04-2020,1682.91,11438
12-04-2020,1682.91,12380
13-04-2020,1682.05,13387
14-04-2020,1715.7,14378
15-04-2020,1717.52,15712
16-04-2020,1714.15,17265
17-04-2020,1698.49,18600
18-04-2020,1698.49,19984
19-04-2020,1698.49,21393
20-04-2020,1675.12,23077
21-04-2020,1687.54,24506
22-04-2020,1685.66,26496
23-04-2020,1712.64,27892
24-04-2020,1721.84,29435
25-04-2020,1721.84,31332
26-04-2020,1721.84,33050
27-04-2020,1718.3,35043
28-04-2020,1698.31,37336
29-04-2020,1703.66,37336
30-04-2020,1711.3,37336
